"study_site","p_years_miss","p_years_pres","no_records","country","no_species","no_genus","p_spec","p_gen","p_cors"
"Belgium_121000223",75.5,24.5,259,"Belgium",1,34,0,62.1621621621622,37.8378378378378
"Belgium_121000225",81.1,18.9,242,"Belgium",1,31,0,59.0909090909091,40.9090909090909
"Belgium_121000228",83,17,245,"Belgium",1,42,0,54.2857142857143,45.7142857142857
"Belgium_121000230",79.2,20.8,296,"Belgium",1,48,0,72.2972972972973,27.7027027027027
"Belgium_121000231",83,17,187,"Belgium",1,35,0,64.1711229946524,35.8288770053476
"Belgium_121000237",77.4,22.6,209,"Belgium",1,25,0,55.0239234449761,44.9760765550239
"Belgium_121000241",81.1,18.9,173,"Belgium",1,33,0,56.6473988439306,43.3526011560694
"Belgium_121000248",81.1,18.9,234,"Belgium",2,28,1.28205128205128,58.1196581196581,40.5982905982906
"Belgium_121000251",84.9,15.1,132,"Belgium",2,23,0.757575757575758,56.8181818181818,42.4242424242424
"Belgium_121000252",73.6,26.4,267,"Belgium",2,32,1.49812734082397,54.3071161048689,44.1947565543071
"Belgium_121000253",81.1,18.9,160,"Belgium",3,27,1.25,50,48.75
"Belgium_121000254",81.1,18.9,226,"Belgium",2,29,0.884955752212389,58.4070796460177,40.7079646017699
"Belgium_121000255",84.9,15.1,128,"Belgium",1,25,0,64.0625,35.9375
"Bulgaria_106000001",81.1,18.9,49,"Bulgaria",1,7,0,16.3265306122449,83.6734693877551
"Bulgaria_106000002",84.9,15.1,57,"Bulgaria",4,10,5.26315789473684,50.8771929824561,43.859649122807
"Bulgaria_106000003",84.9,15.1,100,"Bulgaria",1,15,0,54,46
"Bulgaria_106000004",83,17,173,"Bulgaria",1,18,0,50.2890173410405,49.7109826589595
"Bulgaria_106000005",84.9,15.1,165,"Bulgaria",1,17,0,63.030303030303,36.969696969697
"Bulgaria_106000006",84.9,15.1,223,"Bulgaria",53,57,59.6412556053812,27.3542600896861,13.0044843049327
"Bulgaria_106000007",84.9,15.1,179,"Bulgaria",56,62,54.7486033519553,31.8435754189944,13.4078212290503
"Bulgaria_106000008",83,17,184,"Bulgaria",58,55,66.304347826087,24.4565217391304,9.23913043478261
"Bulgaria_106000009",79.2,20.8,223,"Bulgaria",78,64,65.9192825112108,21.9730941704036,12.1076233183857
"Cyprus_102000002",84.9,15.1,188,"Cyprus",1,1,0,0,100
"Cyprus_102000003",84.9,15.1,174,"Cyprus",1,1,0,0,100
"CzechRepublic_112000001",84.9,15.1,421,"CzechRepublic",91,115,61.2826603325416,31.5914489311164,7.12589073634204
"Denmark_107000001",64.2,35.8,712,"Denmark",92,87,57.4438202247191,28.2303370786517,14.3258426966292
"Denmark_107000002",64.2,35.8,523,"Denmark",61,65,51.434034416826,32.3135755258126,16.2523900573614
"Denmark_107000003",62.3,37.7,450,"Denmark",54,68,48.8888888888889,34.4444444444444,16.6666666666667
"Denmark_107000004",64.2,35.8,783,"Denmark",95,93,59.514687100894,27.2030651340996,13.2822477650064
"Denmark_107000005",67.9,32.1,557,"Denmark",75,81,56.1938958707361,28.3662477558348,15.4398563734291
"Denmark_107000006",64.2,35.8,481,"Denmark",54,60,52.1829521829522,32.8482328482328,14.968814968815
"Denmark_107000007",64.2,35.8,454,"Denmark",64,74,59.0308370044053,25.9911894273128,14.9779735682819
"Denmark_107000008",64.2,35.8,556,"Denmark",73,85,56.6546762589928,28.9568345323741,14.3884892086331
"Denmark_107000009",64.2,35.8,455,"Denmark",56,68,52.3076923076923,33.1868131868132,14.5054945054945
"Denmark_107000010",64.2,35.8,458,"Denmark",60,65,51.7467248908297,32.3144104803493,15.938864628821
"Denmark_107000011",62.3,37.7,613,"Denmark",82,90,61.9902120717781,24.4698205546493,13.5399673735726
"Denmark_107000012",64.2,35.8,577,"Denmark",78,87,56.3258232235702,29.2894280762565,14.3847487001733
"Denmark_107000013",64.2,35.8,452,"Denmark",60,76,46.9026548672566,35.8407079646018,17.2566371681416
"Denmark_107000014",64.2,35.8,492,"Denmark",54,59,54.0650406504065,31.0975609756098,14.8373983739837
"Denmark_107000015",62.3,37.7,685,"Denmark",79,84,54.5985401459854,29.7810218978102,15.6204379562044
"Denmark_107000016",64.2,35.8,451,"Denmark",50,69,49.0022172949002,33.0376940133038,17.960088691796
