"species","no_detections","no_countries","p_years_miss","p_years_pres","no_sampledyears"
"Diplocladius cultriger",769,3,37.7,62.3,33
"Diura bicaudata",68,4,52.8,47.2,25
"Diura nanseni",914,3,45.3,54.7,29
"Dixa dilatata",1,1,98.1,1.9,1
"Dixa maculata",80,2,62.3,37.7,20
"Dixa nebulosa",58,2,75.5,24.5,13
"Dixa nubilipennis",5,1,94.3,5.7,3
"Dixa puberula",15,1,81.1,18.9,10
"Dixa submaculata",16,2,81.1,18.9,10
"Dixella amphibia",1,1,98.1,1.9,1
"Dixella attica",1,1,98.1,1.9,1
"Dixella autumnalis",1,1,98.1,1.9,1
"Dixella serotina",1,1,98.1,1.9,1
"Dreissena polymorpha",1409,9,9.4,90.6,48
"Dreissena rostriformis",12,3,83,17,9
"Drusus annulatus",283,3,45.3,54.7,29
"Drusus discolor",14,2,73.6,26.4,14
"Dryops ernesti",2,2,96.2,3.8,2
"Dryops luridus",1,1,98.1,1.9,1
"Dugesia gonocephala",1163,6,32.1,67.9,36
"Dupophilus brevis",141,1,64.2,35.8,19
"Dytiscus circumflexus",1,1,98.1,1.9,1
"Dytiscus dimidiatus",2,1,96.2,3.8,2
"Dytiscus marginalis",11,5,86.8,13.2,7
"Dytiscus semisulcatus",1,1,98.1,1.9,1
"Ecclisopteryx dalecarlica",555,4,45.3,54.7,29
"Ecclisopteryx guttulata",71,2,52.8,47.2,25
"Ecclisopteryx madida",11,1,79.2,20.8,11
"Ecdyonurus aurantiacus",13,3,77.4,22.6,12
"Ecdyonurus epeorides",2,1,96.2,3.8,2
"Ecdyonurus helveticus",2,2,96.2,3.8,2
"Ecdyonurus insignis",17,4,86.8,13.2,7
"Ecdyonurus starmachi",3,1,94.3,5.7,3
"Ecdyonurus submontanus",2,2,96.2,3.8,2
"Ecdyonurus torrentis",278,4,50.9,49.1,26
"Ecdyonurus venosus",142,10,47.2,52.8,28
"Echinogammarus berilloni",50,2,52.8,47.2,25
